playerID,yearID,teamID,round,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
burnsoy01,1889,BR3,WS,9,35,8,8,3,0,2,11,0,,5,6,0,,,,
bushodo01,1889,BR3,WS,3,8,0,0,0,0,0,0,0,,1,0,0,,,,
carutbo01,1889,BR3,WS,4,8,1,2,0,0,0,1,0,,3,3,0,,,,
clarkbo01,1889,BR3,WS,4,12,3,5,2,0,0,3,0,,2,2,0,,,,
collihu01,1889,BR3,WS,9,35,13,13,3,0,1,2,6,,7,5,0,,,,
connoro01,1889,NY1,WS,9,35,9,12,2,2,0,12,8,,3,2,0,,,,
corkhpo01,1889,BR3,WS,9,24,4,5,1,0,1,5,1,,6,2,0,,,,
craneed01,1889,NY1,WS,5,18,3,5,1,1,1,5,0,,1,2,0,,,,
davisju01,1889,BR3,WS,1,4,0,0,0,0,0,0,0,,0,0,0,,,,
ewingbu01,1889,NY1,WS,8,36,5,9,4,0,0,7,1,,2,5,0,,,,
foutzda01,1889,BR3,WS,9,35,7,10,2,0,1,9,3,,4,2,0,,,,
gorege01,1889,NY1,WS,5,21,5,7,1,1,0,1,2,,3,0,0,,,,
hughemi01,1889,BR3,WS,1,3,1,1,1,0,0,0,0,,1,2,0,,,,
keefeti01,1889,NY1,WS,2,4,1,2,1,0,0,0,0,,1,1,0,,,,
lovetto01,1889,BR3,WS,1,1,0,0,0,0,0,0,0,,0,0,0,,,,
obrieda01,1889,BR3,WS,9,31,8,5,0,1,0,4,6,,12,6,0,,,,
odayha01,1889,NY1,WS,3,6,0,1,0,0,0,0,0,,2,2,0,,,,
orourji01,1889,NY1,WS,9,36,7,14,2,2,2,7,3,,2,2,0,,,,
pinknge01,1889,BR3,WS,9,31,2,8,2,0,0,3,2,,4,2,0,,,,
richada01,1889,NY1,WS,9,35,8,11,1,1,3,8,3,,3,5,0,,,,
slattmi01,1889,NY1,WS,4,16,6,3,0,0,0,1,1,,3,1,0,,,,
smithge01,1889,BR3,WS,8,29,2,5,2,1,0,2,2,,3,2,0,,,,
terryad01,1889,BR3,WS,5,18,1,3,0,0,0,1,1,,1,1,0,,,,
tiernmi01,1889,NY1,WS,9,38,12,11,1,1,1,5,3,,5,3,0,,,,
visnejo01,1889,BR3,WS,5,16,2,2,1,0,0,0,0,,2,3,0,,,,
wardjo01,1889,NY1,WS,9,36,10,15,0,1,0,7,10,,5,2,0,,,,
welchmi01,1889,NY1,WS,1,3,0,1,1,0,0,0,0,,0,1,0,,,,
whitnar01,1889,NY1,WS,9,35,4,8,2,1,0,3,0,,1,0,0,,,,
blighne01,1890,LS2,WS,2,3,0,0,0,0,0,0,0,,0,1,0,,,,
burnsoy01,1890,BRO,WS,7,27,6,6,2,0,1,5,0,,3,4,0,,,,
bushodo01,1890,BRO,WS,2,6,0,0,0,0,0,0,0,,0,1,0,,,,
carutbo01,1890,BRO,WS,2,6,0,0,0,0,0,0,0,,2,0,0,,,,
clarkbo01,1890,BRO,WS,1,3,2,2,0,1,0,1,0,,0,0,0,,,,
collihu01,1890,BRO,WS,7,29,7,9,0,1,0,1,2,,3,0,0,,,,
dailyed01,1890,LS2,WS,6,22,1,3,1,1,0,3,2,,1,2,0,,,,
dalyto01,1890,BRO,WS,6,22,1,4,2,0,0,3,2,,0,4,0,,,,
donovpa01,1890,BRO,WS,5,17,5,8,1,0,0,3,3,,2,1,0,,,,
ehretre01,1890,LS2,WS,3,7,1,3,0,1,0,0,0,,0,0,0,,,,
foutzda01,1890,BRO,WS,7,30,6,9,2,1,0,4,1,,0,1,0,,,,
hambuch01,1890,LS2,WS,7,26,3,7,1,0,0,2,0,,0,3,0,,,,
lovetto01,1890,BRO,WS,5,15,0,1,0,0,0,0,0,,0,4,0,,,,
meakige01,1890,LS2,WS,1,2,0,1,0,0,0,0,0,,0,0,0,,,,
obrieda01,1890,BRO,WS,6,24,3,3,0,1,0,3,3,,1,5,0,,,,
pinknge01,1890,BRO,WS,4,14,4,5,0,2,0,3,1,,2,1,0,,,,
raymoha01,1890,LS2,WS,7,27,5,4,1,1,0,1,1,,2,5,0,,,,
ryanja01,1890,LS2,WS,6,19,0,1,0,0,0,2,1,,0,1,0,,,,
shinnti01,1890,LS2,WS,7,24,3,7,1,1,0,3,2,,2,2,0,,,,
smithge01,1890,BRO,WS,7,29,3,8,0,2,0,7,1,,0,3,0,,,,
stratsc01,1890,LS2,WS,4,9,4,2,1,0,0,0,3,,2,1,0,,,,
tayloha01,1890,LS2,WS,7,30,6,9,1,0,0,2,3,,2,3,0,,,,
terryad01,1890,BRO,WS,6,20,5,1,1,0,0,0,1,,6,3,0,,,,
tomneph01,1890,LS2,WS,3,5,1,1,0,0,0,0,0,,3,1,0,,,,
weavefa01,1890,LS2,WS,7,27,4,7,1,0,0,4,5,,1,2,0,,,,
weckbpe01,1890,LS2,WS,1,4,0,0,0,0,0,0,0,,0,1,0,,,,
wolfji01,1890,LS2,WS,7,25,4,9,3,1,0,8,2,,3,0,0,,,,
bennech01,1892,BSN,CS,2,7,2,2,0,0,1,1,1,,0,2,0,,,,
burkeje01,1892,CL4,CS,6,25,3,8,1,0,0,1,4,,0,2,0,,,,
childcu01,1892,CL4,CS,6,22,3,9,0,2,0,0,0,,5,1,0,,,,
clarkjo01,1892,CL4,CS,2,8,1,2,0,0,1,3,0,,0,1,0,,,,
cuppyni01,1892,CL4,CS,1,3,0,0,0,0,0,0,0,,0,2,0,,,,
davisge01,1892,CL4,CS,3,6,0,1,0,0,0,0,0,,0,1,0,,,,
duffyhu01,1892,BSN,CS,6,26,3,12,3,2,1,9,3,,1,0,0,,,,
ganzech01,1892,BSN,CS,2,8,1,4,0,0,0,2,0,,1,0,0,,,,
kellyki01,1892,BSN,CS,2,8,0,0,0,0,0,0,1,,0,2,0,,,,
longhe01,1892,BSN,CS,6,27,4,6,0,0,0,1,2,,0,0,0,,,,
lowebo01,1892,BSN,CS,6,23,2,3,0,0,0,0,1,,1,2,0,,,,
mcaleji01,1892,CL4,CS,6,22,0,4,0,0,0,1,1,,2,2,0,,,,
mccarto01,1892,BSN,CS,6,21,2,8,2,0,0,2,3,,6,1,0,,,,
mckeaed01,1892,CL4,CS,6,25,2,11,0,0,0,6,0,,1,3,0,,,,
nashbi01,1892,BSN,CS,6,24,3,4,0,0,0,4,2,,2,3,0,,,,
nichoki01,1892,BSN,CS,2,7,1,2,0,0,0,2,1,,0,1,0,,,,
oconnja01,1892,CL4,CS,6,22,1,3,0,0,0,0,0,,2,3,0,,,,
quinnjo02,1892,BSN,CS,6,21,2,6,1,1,0,4,0,,1,2,0,,,,
staleha01,1892,BSN,CS,1,4,0,0,0,0,0,0,0,,0,3,0,,,,
stiveja01,1892,BSN,CS,3,12,3,3,1,1,0,1,0,,0,2,0,,,,
tebeapa01,1892,CL4,CS,5,18,1,0,0,0,0,0,1,,0,2,0,,,,
tucketo01,1892,BSN,CS,6,23,2,6,0,0,1,2,0,,0,1,0,,,,
virtuja01,1892,CL4,CS,6,24,1,3,0,0,0,0,1,,2,5,0,,,,
youngcy01,1892,CL4,CS,3,11,1,1,0,0,0,0,0,,0,5,0,,,,
zimmech01,1892,CL4,CS,6,23,2,6,1,1,0,2,0,,0,3,0,,,,
beaumgi01,1903,PIT,WS,8,34,6,9,0,1,0,1,2,0,2,4,0,0,0,0,0
branski01,1903,PIT,WS,8,29,3,6,0,2,0,1,1,0,1,6,0,0,1,0,0
clarkfr01,1903,PIT,WS,8,34,3,9,2,1,0,2,1,0,1,5,0,0,0,0,0
colliji01,1903,BOS,WS,8,36,5,9,1,2,0,1,3,0,1,1,0,0,0,0,1
crigelo01,1903,BOS,WS,8,26,1,6,0,0,0,4,0,0,2,3,0,0,1,0,1
dinnebi01,1903,BOS,WS,4,11,1,2,0,0,0,0,0,0,2,2,0,0,1,0,0
doughpa01,1903,BOS,WS,8,34,3,8,0,2,2,5,0,0,2,6,0,1,0,0,0
farredu01,1903,BOS,WS,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ferriho01,1903,BOS,WS,8,31,3,9,0,1,0,5,0,0,0,6,0,1,1,0,0
freembu01,1903,BOS,WS,8,32,6,9,0,3,0,4,0,1,2,2,0,0,0,0,0
hugheto01,1903,BOS,WS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kennebr01,1903,PIT,WS,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
lachaca01,1903,BOS,WS,8,27,5,6,2,1,0,4,0,0,3,2,0,0,3,0,1
leachto01,1903,PIT,WS,8,33,3,9,0,4,0,7,1,1,1,4,0,0,0,0,1
leevesa01,1903,PIT,WS,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
obrieja02,1903,BOS,WS,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
parenfr01,1903,BOS,WS,8,32,8,9,0,3,0,4,0,0,1,1,0,1,0,0,0
phelped01,1903,PIT,WS,8,26,1,6,2,0,0,1,0,0,1,6,0,0,1,0,0
phillde01,1903,PIT,WS,5,18,1,4,0,0,0,1,0,0,0,3,0,0,0,0,0
ritchcl01,1903,PIT,WS,8,27,2,4,1,0,0,2,1,0,4,7,0,0,0,0,0
sebriji01,1903,PIT,WS,8,30,3,10,0,1,1,4,0,1,1,4,0,0,0,0,0
smithha03,1903,PIT,WS,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stahlch01,1903,BOS,WS,8,33,6,10,1,3,0,3,2,1,1,2,0,0,0,0,0
thompgu01,1903,PIT,WS,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
veilbu01,1903,PIT,WS,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
wagneho01,1903,PIT,WS,8,27,2,6,1,0,0,3,3,1,3,4,0,1,1,0,0
youngcy01,1903,BOS,WS,4,15,1,1,0,1,0,3,0,0,0,3,0,0,0,0,1
amesre01,1905,NY1,WS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bendech01,1905,PHA,WS,2,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
bresnro01,1905,NY1,WS,5,16,3,5,2,0,0,1,1,0,4,0,1,2,0,0,0
brownge01,1905,NY1,WS,5,22,2,5,0,0,0,1,2,0,0,2,0,0,0,0,0
coaklan01,1905,PHA,WS,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
crossla01,1905,PHA,WS,5,19,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0
crossmo01,1905,PHA,WS,5,17,0,3,0,0,0,0,0,1,0,7,0,0,0,0,0
dahlebi01,1905,NY1,WS,5,15,1,0,0,0,0,1,3,0,3,2,0,0,0,0,0
davisha01,1905,PHA,WS,5,20,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0
devliar01,1905,NY1,WS,5,16,0,4,1,0,0,1,3,0,1,3,0,0,1,0,1
donlimi01,1905,NY1,WS,5,19,4,5,1,0,0,1,1,1,2,1,1,0,1,0,0
gilbebi02,1905,NY1,WS,5,17,1,5,0,0,0,2,1,1,0,2,0,0,0,0,0
hartsto01,1905,PHA,WS,5,17,1,4,1,0,0,0,2,0,2,1,0,0,1,0,0
hoffmda01,1905,PHA,WS,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
lordbr01,1905,PHA,WS,5,20,0,2,0,0,0,2,0,0,0,5,0,0,0,0,0
mathech01,1905,NY1,WS,3,8,1,2,0,0,0,0,0,0,1,1,0,0,2,0,0
mcganda01,1905,NY1,WS,5,17,1,4,2,0,0,4,0,1,2,7,0,0,1,0,0
mcginjo01,1905,NY1,WS,2,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
mertesa01,1905,NY1,WS,5,17,2,3,1,0,0,2,0,2,2,5,0,0,0,0,0
murphda02,1905,PHA,WS,5,16,0,3,1,0,0,0,0,1,0,2,0,0,1,0,1
planked01,1905,PHA,WS,2,6,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1
powerdo01,1905,PHA,WS,3,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
schreos01,1905,PHA,WS,3,9,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
seyboso01,1905,PHA,WS,5,16,0,2,0,0,0,0,0,0,2,3,0,0,0,0,0
stransa01,1905,NY1,WS,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
altroni01,1906,CHA,WS,2,4,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
brownmo01,1906,CHN,WS,3,6,0,2,0,0,0,0,0,0,0,4,0,0,1,0,0
chancfr01,1906,CHN,WS,6,21,3,5,1,0,0,0,2,1,2,1,0,2,0,0,0
davisge01,1906,CHA,WS,3,13,4,4,3,0,0,6,1,1,0,1,0,0,0,0,0
donahji02,1906,CHA,WS,6,18,0,5,2,1,0,4,0,2,3,4,0,1,2,0,1
doughpa01,1906,CHA,WS,6,20,1,2,0,0,0,1,2,0,3,3,0,0,0,0,0
eversjo01,1906,CHN,WS,6,20,2,3,1,0,0,1,2,1,1,3,0,0,0,0,0
gessldo01,1906,CHN,WS,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
hahned01,1906,CHA,WS,6,22,4,6,0,0,0,0,0,2,1,1,0,1,1,0,0
hofmaso01,1906,CHN,WS,6,23,3,7,1,0,0,2,1,1,3,5,0,0,1,0,0
isbelfr01,1906,CHA,WS,6,26,4,8,4,0,0,4,1,0,0,6,0,0,0,0,0
jonesfi01,1906,CHA,WS,6,21,4,3,0,0,0,0,0,1,3,3,0,0,2,0,0
klingjo01,1906,CHN,WS,6,17,2,3,1,0,0,0,0,0,4,3,1,0,0,0,1
mcfared01,1906,CHA,WS,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moranpa01,1906,CHN,WS,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oneilbi01,1906,CHA,WS,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
overaor01,1906,CHN,WS,2,4,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0
owenfr01,1906,CHA,WS,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
pfiesja01,1906,CHN,WS,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
reulbed01,1906,CHN,WS,2,3,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0
rohege01,1906,CHA,WS,6,21,2,7,1,2,0,4,2,0,3,1,0,1,0,0,0
schulfr01,1906,CHN,WS,6,26,1,7,3,0,0,3,0,2,1,3,0,0,0,0,0
sheckji01,1906,CHN,WS,6,21,0,0,0,0,0,1,1,0,2,4,0,0,3,0,0
steinha01,1906,CHN,WS,6,20,2,5,1,0,0,2,0,1,1,0,0,0,3,0,0
sullibi03,1906,CHA,WS,6,21,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0
tannele01,1906,CHA,WS,3,9,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0
tinkejo01,1906,CHN,WS,6,18,4,3,0,0,0,1,3,0,2,2,0,0,3,0,0
towneba01,1906,CHA,WS,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
walshed01,1906,CHA,WS,2,4,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0
